Date,Open,High,Low,Close,Vol,OI
12/16/2021,1719.0,1719.0,1719.0,1719.0,0,0
12/17/2021,1706.0,1706.0,1706.0,1706.0,0,0
12/20/2021,1684.9,1684.9,1684.9,1684.9,0,0
12/21/2021,1728.6,1728.6,1728.6,1728.6,0,0
12/22/2021,1751.0,1751.0,1751.0,1751.0,0,0
12/23/2021,1760.7,1760.7,1760.7,1760.7,0,0
12/27/2021,1797.3,1797.3,1797.3,1797.3,0,0
12/28/2021,1786.7,1786.7,1786.7,1786.7,0,0
12/29/2021,1789.4,1789.4,1789.4,1789.4,0,0
12/30/2021,1778.1,1778.1,1778.1,1778.1,0,0
12/31/2021,1768.8,1768.8,1768.8,1768.8,0,0
1/3/2022,1785.6,1785.6,1785.6,1785.6,0,0
1/4/2022,1767.4,1767.4,1767.4,1767.4,0,0
1/5/2022,1713.2,1713.2,1713.2,1713.2,0,0
1/6/2022,1703.0,1703.0,1703.0,1703.0,0,0
1/7/2022,1686.2,1686.2,1686.2,1686.2,0,0
1/10/2022,1689.5,1689.5,1689.5,1689.5,0,0
1/11/2022,1708.1,1708.1,1708.1,1708.1,0,0
1/12/2022,1715.0,1715.0,1715.0,1715.0,0,0
1/13/2022,1669.0,1669.0,1669.0,1669.0,0,0
1/14/2022,1686.5,1686.5,1686.5,1686.5,0,0
1/18/2022,1643.6,1643.6,1643.6,1643.6,0,0
1/19/2022,1621.0,1621.0,1621.0,1621.0,0,0
1/20/2022,1602.5,1602.5,1602.5,1602.5,0,0
1/21/2022,1571.2,1571.2,1571.2,1571.2,0,0
1/24/2022,1575.6,1575.6,1575.6,1575.6,0,0
1/25/2022,1539.4,1539.4,1539.4,1539.4,0,0
1/26/2022,1550.8,1550.8,1550.8,1550.8,0,0
1/27/2022,1539.9,1539.9,1539.9,1539.9,0,0
1/28/2022,1605.5,1605.5,1605.5,1605.5,0,0
1/31/2022,1648.0,1648.0,1648.0,1648.0,0,0
2/1/2022,1652.0,1652.0,1652.0,1652.0,0,0
2/2/2022,1664.6,1664.6,1664.6,1664.6,0,0
2/3/2022,1613.3,1613.3,1613.3,1613.3,0,0
2/4/2022,1622.6,1622.6,1622.6,1622.6,0,0
2/7/2022,1609.6,1609.6,1609.6,1609.6,0,0
2/8/2022,1630.2,1630.2,1630.2,1630.2,0,0
2/9/2022,1666.3,1666.3,1666.3,1666.3,0,0
2/10/2022,1622.3,1622.3,1622.3,1622.3,0,0
2/11/2022,1573.8,1573.8,1573.8,1573.8,0,0
2/14/2022,1572.5,1572.5,1572.5,1572.5,0,0
2/15/2022,1614.5,1614.5,1614.5,1614.5,0,0
2/16/2022,1610.9,1610.9,1610.9,1610.9,0,0
2/17/2022,1563.0,1563.0,1563.0,1563.0,0,0
2/18/2022,1544.8,1544.8,1544.8,1544.8,0,0
2/22/2022,1531.7,1531.7,1531.7,1531.7,0,0
2/23/2022,1493.6,1493.6,1493.6,1493.6,0,0
