Date,Open,High,Low,Close,Vol,OI
6/16/2022,686.4,686.4,686.4,686.4,0,0
6/17/2022,684.8,684.8,684.8,684.8,0,0
6/21/2022,702.8,702.8,702.8,702.8,0,0
6/22/2022,703.4,703.4,703.4,703.4,0,0
6/23/2022,716.3,716.3,716.3,716.3,0,0
6/24/2022,729.9,729.9,729.9,729.9,0,0
6/27/2022,728.4,728.4,728.4,728.4,0,0
6/28/2022,718.8,718.8,718.8,718.8,0,0
6/29/2022,723.1,723.1,723.1,723.1,0,0
6/30/2022,722.0,722.0,722.0,722.0,0,0
7/1/2022,732.7,732.7,732.7,732.7,0,0
7/5/2022,728.3,728.3,728.3,728.3,0,0
7/6/2022,730.9,730.9,730.9,730.9,0,0
7/7/2022,731.8,731.8,731.8,731.8,0,0
7/8/2022,730.0,730.0,730.0,730.0,0,0
7/11/2022,728.9,728.9,728.9,728.9,0,0
7/12/2022,726.9,726.9,726.9,726.9,0,0
7/13/2022,727.7,727.7,727.7,727.7,0,0
7/14/2022,728.3,728.3,728.3,728.3,0,0
7/15/2022,730.7,730.7,730.7,730.7,0,0
7/18/2022,723.8,723.8,723.8,723.8,0,0
7/19/2022,731.7,731.7,731.7,731.7,0,0
7/20/2022,726.2,726.2,726.2,726.2,0,0
7/21/2022,727.4,727.4,727.4,727.4,0,0
7/22/2022,732.3,732.3,732.3,732.3,0,0
7/25/2022,736.6,736.6,736.6,736.6,0,0
7/26/2022,734.7,734.7,734.7,734.7,0,0
7/27/2022,739.7,739.7,739.7,739.7,0,0
7/28/2022,751.3,751.3,751.3,751.3,0,0
7/29/2022,745.4,745.4,745.4,745.4,0,0
8/1/2022,754.7,754.7,754.7,754.7,0,0
8/2/2022,748.5,748.5,748.5,748.5,0,0
8/3/2022,753.7,753.7,753.7,753.7,0,0
8/4/2022,748.1,748.1,748.1,748.1,0,0
8/5/2022,747.1,747.1,747.1,747.1,0,0
8/8/2022,746.6,746.6,746.6,746.6,0,0
8/9/2022,745.4,745.4,745.4,745.4,0,0
8/10/2022,751.1,751.1,751.1,751.1,0,0
8/11/2022,748.0,748.0,748.0,748.0,0,0
8/12/2022,755.1,755.1,755.1,755.1,0,0
8/15/2022,762.9,762.9,762.9,762.9,0,0
8/16/2022,771.4,771.4,771.4,771.4,0,0
8/17/2022,769.5,769.5,769.5,769.5,0,0
8/18/2022,771.2,771.2,771.2,771.2,0,0
8/19/2022,769.8,769.8,769.8,769.8,0,0
8/22/2022,760.9,760.9,760.9,760.9,0,0
8/23/2022,758.1,758.1,758.1,758.1,0,0
8/24/2022,759.8,759.8,759.8,759.8,0,0
8/25/2022,763.0,763.0,763.0,763.0,0,0
8/26/2022,744.3,744.3,744.3,744.3,0,0
8/29/2022,743.4,743.4,743.4,743.4,0,0
8/30/2022,736.0,736.0,736.0,736.0,0,0
8/31/2022,731.2,731.2,731.2,731.2,0,0
9/1/2022,736.0,736.0,736.0,736.0,0,0
9/2/2022,725.1,725.1,725.1,725.1,0,0
9/6/2022,720.9,720.9,720.9,720.9,0,0
9/7/2022,733.6,733.6,733.6,733.6,0,0
9/8/2022,732.1,732.1,732.1,732.1,0,0
9/9/2022,739.1,739.1,739.1,739.1,0,0
9/12/2022,741.8,741.8,741.8,741.8,0,0
9/13/2022,717.4,717.4,717.4,717.4,0,0
9/14/2022,716.6,716.6,716.6,716.6,0,0
9/15/2022,710.2,710.2,710.2,710.2,0,0
9/16/2022,711.9,711.9,711.9,711.9,0,0
9/19/2022,715.9,715.9,715.9,715.9,0,0
9/20/2022,712.3,712.3,712.3,712.3,0,0
9/21/2022,710.1,710.1,710.1,710.1,0,0
9/22/2022,708.8,708.8,708.8,708.8,0,0
9/23/2022,697.1,697.1,697.1,697.1,0,0
9/26/2022,697.2,697.2,697.2,697.2,0,0
9/27/2022,684.3,684.3,684.3,684.3,0,0
9/28/2022,692.8,692.8,692.8,692.8,0,0
9/29/2022,681.1,681.1,681.1,681.1,0,0
9/30/2022,669.0,669.0,669.0,669.0,0,0
10/3/2022,680.9,680.9,680.9,680.9,0,0
10/4/2022,691.1,691.1,691.1,691.1,0,0
10/5/2022,686.8,686.8,686.8,686.8,0,0
10/6/2022,677.3,677.3,677.3,677.3,0,0
10/7/2022,667.1,667.1,667.1,667.1,0,0
10/10/2022,669.8,669.8,669.8,669.8,0,0
10/11/2022,674.7,674.7,674.7,674.7,0,0
10/12/2022,678.7,678.7,678.7,678.7,0,0
10/13/2022,690.0,690.0,690.0,690.0,0,0
10/14/2022,677.0,677.0,677.0,677.0,0,0
10/17/2022,684.5,684.5,684.5,684.5,0,0
10/18/2022,693.4,693.4,693.4,693.4,0,0
10/19/2022,690.6,690.6,690.6,690.6,0,0
10/20/2022,680.1,680.1,680.1,680.1,0,0
10/21/2022,690.4,690.4,690.4,690.4,0,0
10/24/2022,703.1,703.1,703.1,703.1,0,0
10/25/2022,711.9,711.9,711.9,711.9,0,0
10/26/2022,716.4,716.4,716.4,716.4,0,0
10/27/2022,717.1,717.1,717.1,717.1,0,0
10/28/2022,733.1,733.1,733.1,733.1,0,0
10/31/2022,728.7,728.7,728.7,728.7,0,0
11/1/2022,726.8,726.8,726.8,726.8,0,0
11/2/2022,714.0,714.0,714.0,714.0,0,0
11/3/2022,711.6,711.6,711.6,711.6,0,0
11/4/2022,719.9,719.9,719.9,719.9,0,0
11/7/2022,726.0,726.0,726.0,726.0,0,0
11/8/2022,728.3,728.3,728.3,728.3,0,0
11/9/2022,720.2,720.2,720.2,720.2,0,0
11/10/2022,737.7,737.7,737.7,737.7,0,0
11/11/2022,736.6,736.6,736.6,736.6,0,0
11/14/2022,730.3,730.3,730.3,730.3,0,0
11/15/2022,736.5,736.5,736.5,736.5,0,0
11/16/2022,740.1,740.1,740.1,740.1,0,0
11/17/2022,740.1,740.1,740.1,740.1,0,0
11/18/2022,747.8,747.8,747.8,747.8,0,0
11/21/2022,755.2,755.2,755.2,755.2,0,0
11/22/2022,761.1,761.1,761.1,761.1,0,0
11/23/2022,763.0,763.0,763.0,763.0,0,0
11/25/2022,763.4,763.4,763.4,763.4,0,0
11/28/2022,761.2,761.2,761.2,761.2,0,0
11/29/2022,758.2,758.2,758.2,758.2,0,0
11/30/2022,772.3,772.3,772.3,772.3,0,0
12/1/2022,790.2,790.2,790.2,790.2,0,0
12/2/2022,793.9,793.9,793.9,793.9,0,0
12/5/2022,784.2,784.2,784.2,784.2,0,0
12/6/2022,778.9,778.9,778.9,778.9,0,0
12/7/2022,782.3,782.3,782.3,782.3,0,0
12/8/2022,786.0,786.0,786.0,786.0,0,0
12/9/2022,780.1,780.1,780.1,780.1,0,0
12/12/2022,787.7,787.7,787.7,787.7,0,0
12/13/2022,786.5,786.5,786.5,786.5,0,0
12/14/2022,786.5,786.5,786.5,786.5,0,0
12/15/2022,772.6,772.6,772.6,772.6,0,0
12/16/2022,769.1,769.1,769.1,769.1,0,0
12/19/2022,768.7,768.7,768.7,768.7,0,0
12/20/2022,767.7,767.7,767.7,767.7,0,0
12/21/2022,773.8,773.8,773.8,773.8,0,0
12/22/2022,772.1,772.1,772.1,772.1,0,0
12/23/2022,775.9,775.9,775.9,775.9,0,0
12/27/2022,779.6,779.6,779.6,779.6,0,0
12/28/2022,770.2,770.2,770.2,770.2,0,0
12/29/2022,772.8,772.8,772.8,772.8,0,0
12/30/2022,768.9,768.9,768.9,768.9,0,0
1/3/2023,766.6,766.6,766.6,766.6,0,0
1/4/2023,769.0,769.0,769.0,769.0,0,0
1/5/2023,761.0,761.0,761.0,761.0,0,0
1/6/2023,781.2,781.2,781.2,781.2,0,0
1/9/2023,773.4,773.4,773.4,773.4,0,0
1/10/2023,771.7,771.7,771.7,771.7,0,0
1/11/2023,772.2,772.2,772.2,772.2,0,0
1/12/2023,766.2,766.2,766.2,766.2,0,0
1/13/2023,769.8,769.8,769.8,769.8,0,0
1/17/2023,769.8,769.8,769.8,769.8,0,0
1/18/2023,748.7,748.7,748.7,748.7,0,0
1/19/2023,741.2,741.2,741.2,741.2,0,0
1/20/2023,746.9,746.9,746.9,746.9,0,0
1/23/2023,748.7,748.7,748.7,748.7,0,0
1/24/2023,752.1,752.1,752.1,752.1,0,0
1/25/2023,753.5,753.5,753.5,753.5,0,0
1/26/2023,750.9,750.9,750.9,750.9,0,0
1/27/2023,748.5,748.5,748.5,748.5,0,0
1/30/2023,749.3,749.3,749.3,749.3,0,0
1/31/2023,757.3,757.3,757.3,757.3,0,0
2/1/2023,762.8,762.8,762.8,762.8,0,0
2/2/2023,756.5,756.5,756.5,756.5,0,0
2/3/2023,754.0,754.0,754.0,754.0,0,0
2/6/2023,754.6,754.6,754.6,754.6,0,0
2/7/2023,751.3,751.3,751.3,751.3,0,0
2/8/2023,745.3,745.3,745.3,745.3,0,0
2/9/2023,742.0,742.0,742.0,742.0,0,0
2/10/2023,747.8,747.8,747.8,747.8,0,0
2/13/2023,756.9,756.9,756.9,756.9,0,0
2/14/2023,749.7,749.7,749.7,749.7,0,0
2/15/2023,751.2,751.2,751.2,751.2,0,0
2/16/2023,745.8,745.8,745.8,745.8,0,0
2/17/2023,755.0,755.0,755.0,755.0,0,0
2/21/2023,752.3,752.3,752.3,752.3,0,0
2/22/2023,750.8,750.8,750.8,750.8,0,0
2/23/2023,749.6,749.6,749.6,749.6,0,0
2/24/2023,744.8,744.8,744.8,744.8,0,0
2/27/2023,743.6,743.6,743.6,743.6,0,0
2/28/2023,738.1,738.1,738.1,738.1,0,0
3/1/2023,731.8,731.8,731.8,731.8,0,0
3/2/2023,741.0,741.0,741.0,741.0,0,0
3/3/2023,741.8,741.8,741.8,741.8,0,0
3/6/2023,743.9,743.9,743.9,743.9,0,0
3/7/2023,736.2,736.2,736.2,736.2,0,0
3/8/2023,737.4,737.4,737.4,737.4,0,0
3/9/2023,730.0,730.0,730.0,730.0,0,0
3/10/2023,726.7,726.7,726.7,726.7,0,0
3/13/2023,730.1,730.1,730.1,730.1,0,0
3/14/2023,736.9,736.9,736.9,736.9,0,0
3/15/2023,740.9,740.9,740.9,740.9,0,0
3/16/2023,741.1,741.1,741.1,741.1,0,0
3/17/2023,735.7,735.7,735.7,735.7,0,0
3/20/2023,745.6,745.6,745.6,745.6,0,0
