Date,Open,High,Low,Close,Vol,OI
6/15/2023,190.75,190.75,190.75,190.75,0,0
6/16/2023,190.8,190.8,190.8,190.8,0,0
6/20/2023,188.6,188.6,188.6,188.6,0,0
6/21/2023,187.7,187.7,187.7,187.7,0,0
6/22/2023,185.0,185.0,185.0,185.0,0,0
6/23/2023,183.0,183.0,183.0,183.0,0,0
6/26/2023,186.95,186.95,186.95,186.95,0,0
6/27/2023,189.05,189.05,189.05,189.05,0,0
6/28/2023,189.35,189.35,189.35,189.35,0,0
6/29/2023,191.0,191.0,191.0,191.0,0,0
6/30/2023,192.25,192.25,192.25,192.25,0,0
7/3/2023,193.55,193.55,193.55,193.55,0,0
7/5/2023,194.45,194.45,194.45,194.45,0,0
7/6/2023,193.35,193.35,193.35,193.35,0,0
7/7/2023,192.2,192.2,192.2,192.2,0,0
7/10/2023,192.85,192.85,192.85,192.85,0,0
7/11/2023,195.1,195.1,195.1,195.1,0,0
7/12/2023,195.9,195.9,195.9,195.9,0,0
7/13/2023,197.35,197.35,197.35,197.35,0,0
7/14/2023,197.05,197.05,197.05,197.05,0,0
7/17/2023,195.55,195.55,195.55,195.55,0,0
7/18/2023,193.95,193.95,193.95,193.95,0,0
7/19/2023,196.05,196.05,196.05,196.05,0,0
7/20/2023,195.3,195.3,195.3,195.3,0,0
7/21/2023,196.1,196.1,196.1,196.1,0,0
7/24/2023,198.05,198.05,198.05,198.05,0,0
7/25/2023,196.6,196.6,196.6,196.6,0,0
7/26/2023,197.15,197.15,197.15,197.15,0,0
7/27/2023,193.1,193.1,193.1,193.1,0,0
7/28/2023,192.6,192.6,192.6,192.6,0,0
7/31/2023,193.7,193.7,193.7,193.7,0,0
8/1/2023,193.6,193.6,193.6,193.6,0,0
8/2/2023,192.8,192.8,192.8,192.8,0,0
8/3/2023,190.1,190.1,190.1,190.1,0,0
8/4/2023,188.2,188.2,188.2,188.2,0,0
8/7/2023,190.4,190.4,190.4,190.4,0,0
8/8/2023,189.6,189.6,189.6,189.6,0,0
8/9/2023,189.9,189.9,189.9,189.9,0,0
8/10/2023,189.3,189.3,189.3,189.3,0,0
8/11/2023,189.55,189.55,189.55,189.55,0,0
8/14/2023,188.45,188.45,188.45,188.45,0,0
8/15/2023,186.65,186.65,186.65,186.65,0,0
8/16/2023,184.25,184.25,184.25,184.25,0,0
8/17/2023,182.9,182.9,182.9,182.9,0,0
8/18/2023,183.2,183.2,183.2,183.2,0,0
8/21/2023,181.7,181.7,181.7,181.7,0,0
8/22/2023,182.2,182.2,182.2,182.2,0,0
8/23/2023,184.75,184.75,184.75,184.75,0,0
8/24/2023,184.2,184.2,184.2,184.2,0,0
8/25/2023,184.5,184.5,184.5,184.5,0,0
8/28/2023,185.95,185.95,185.95,185.95,0,0
8/29/2023,188.05,188.05,188.05,188.05,0,0
8/30/2023,188.7,188.7,188.7,188.7,0,0
8/31/2023,187.35,187.35,187.35,187.35,0,0
9/1/2023,187.15,187.15,187.15,187.15,0,0
9/5/2023,185.3,185.3,185.3,185.3,0,0
9/6/2023,184.9,184.9,184.9,184.9,0,0
9/7/2023,186.2,186.2,186.2,186.2,0,0
9/8/2023,184.9,184.9,184.9,184.9,0,0
9/11/2023,184.85,184.85,184.85,184.85,0,0
9/12/2023,184.9,184.9,184.9,184.9,0,0
9/13/2023,183.05,183.05,183.05,183.05,0,0
9/14/2023,186.05,186.05,186.05,186.05,0,0
9/15/2023,185.05,185.05,185.05,185.05,0,0
9/18/2023,183.55,183.55,183.55,183.55,0,0
9/19/2023,182.45,182.45,182.45,182.45,0,0
