Date,Open,High,Low,Close,Vol,OI
12/15/2022,745.9,745.9,745.9,745.9,0,0
12/16/2022,735.8,735.8,735.8,735.8,0,0
12/19/2022,732.9,732.9,732.9,732.9,0,0
12/20/2022,732.9,732.9,732.9,732.9,0,0
12/21/2022,742.4,742.4,742.4,742.4,0,0
12/22/2022,738.0,738.0,738.0,738.0,0,0
12/23/2022,745.5,745.5,745.5,745.5,0,0
12/27/2022,750.2,750.2,750.2,750.2,0,0
12/28/2022,743.2,743.2,743.2,743.2,0,0
12/29/2022,747.6,747.6,747.6,747.6,0,0
12/30/2022,740.4,740.4,740.4,740.4,0,0
1/3/2023,740.4,740.4,740.4,740.4,0,0
1/4/2023,747.2,747.2,747.2,747.2,0,0
1/5/2023,730.6,730.6,730.6,730.6,0,0
1/6/2023,745.4,745.4,745.4,745.4,0,0
1/9/2023,749.9,749.9,749.9,749.9,0,0
1/10/2023,750.3,750.3,750.3,750.3,0,0
1/11/2023,756.8,756.8,756.8,756.8,0,0
1/12/2023,752.1,752.1,752.1,752.1,0,0
1/13/2023,748.6,748.6,748.6,748.6,0,0
1/17/2023,747.2,747.2,747.2,747.2,0,0
1/18/2023,729.0,729.0,729.0,729.0,0,0
1/19/2023,721.9,721.9,721.9,721.9,0,0
1/20/2023,726.2,726.2,726.2,726.2,0,0
1/23/2023,726.4,726.4,726.4,726.4,0,0
1/24/2023,730.1,730.1,730.1,730.1,0,0
1/25/2023,719.6,719.6,719.6,719.6,0,0
1/26/2023,722.2,722.2,722.2,722.2,0,0
1/27/2023,722.1,722.1,722.1,722.1,0,0
1/30/2023,718.5,718.5,718.5,718.5,0,0
1/31/2023,723.6,723.6,723.6,723.6,0,0
2/1/2023,724.5,724.5,724.5,724.5,0,0
2/2/2023,726.1,726.1,726.1,726.1,0,0
2/3/2023,711.0,711.0,711.0,711.0,0,0
2/6/2023,717.1,717.1,717.1,717.1,0,0
2/7/2023,716.5,716.5,716.5,716.5,0,0
2/8/2023,704.5,704.5,704.5,704.5,0,0
2/9/2023,694.1,694.1,694.1,694.1,0,0
2/10/2023,707.1,707.1,707.1,707.1,0,0
2/13/2023,711.6,711.6,711.6,711.6,0,0
2/14/2023,708.1,708.1,708.1,708.1,0,0
