Date,Open,High,Low,Close,Vol,OI
12/14/2021,501.5,501.5,501.5,501.5,0,0
12/15/2021,500.25,500.25,500.25,500.25,0,0
12/16/2021,506.5,506.5,506.5,506.5,0,0
12/17/2021,505.75,505.75,505.75,505.75,0,0
12/20/2021,504.75,504.75,504.75,504.75,0,0
12/21/2021,506.75,506.75,506.75,506.75,0,0
12/22/2021,507.75,507.75,507.75,507.75,0,0
12/23/2021,508.75,508.75,508.75,508.75,0,0
12/27/2021,512.25,512.25,512.25,512.25,0,0
12/28/2021,507.25,507.25,507.25,507.25,0,0
12/29/2021,511.5,511.5,511.5,511.5,0,0
12/30/2021,505.75,505.75,505.75,505.75,0,0
12/31/2021,507.0,507.0,507.0,507.0,0,0
1/3/2022,509.5,509.5,509.5,509.5,0,0
1/4/2022,513.5,513.5,513.5,513.5,0,0
1/5/2022,512.5,512.5,512.5,512.5,0,0
1/6/2022,521.25,521.25,521.25,521.25,0,0
1/7/2022,529.5,529.5,529.5,529.5,0,0
1/10/2022,535.0,535.0,535.0,535.0,0,0
1/11/2022,534.25,534.25,534.25,534.25,0,0
1/12/2022,541.0,541.0,541.0,541.0,0,0
1/13/2022,542.75,542.75,542.75,542.75,0,0
1/14/2022,536.5,536.5,536.5,536.5,0,0
1/18/2022,534.75,534.75,534.75,534.75,0,0
1/19/2022,545.25,545.25,545.25,545.25,0,0
1/20/2022,541.75,541.75,541.75,541.75,0,0
1/21/2022,542.25,542.25,542.25,542.25,0,0
1/24/2022,544.75,544.75,544.75,544.75,0,0
1/25/2022,553.0,553.0,553.0,553.0,0,0
1/26/2022,552.0,552.0,552.0,552.0,0,0
1/27/2022,548.25,548.25,548.25,548.25,0,0
1/28/2022,550.25,550.25,550.25,550.25,0,0
1/31/2022,547.25,547.25,547.25,547.25,0,0
2/1/2022,555.0,555.0,555.0,555.0,0,0
2/2/2022,553.25,553.25,553.25,553.25,0,0
2/3/2022,549.0,549.0,549.0,549.0,0,0
