Date,Open,High,Low,Close,Vol,OI
11/14/2022,1322.5,1322.5,1322.5,1322.5,0,0
11/15/2022,1334.5,1334.5,1334.5,1334.5,0,0
11/16/2022,1321.5,1321.5,1321.5,1321.5,0,0
11/17/2022,1316.25,1316.25,1316.25,1316.25,0,0
11/18/2022,1316.0,1316.0,1316.0,1316.0,0,0
11/21/2022,1313.75,1313.75,1313.75,1313.75,0,0
11/22/2022,1311.75,1311.75,1311.75,1311.75,0,0
11/23/2022,1310.0,1310.0,1310.0,1310.0,0,0
11/25/2022,1312.25,1312.25,1312.25,1312.25,0,0
11/28/2022,1325.5,1325.5,1325.5,1325.5,0,0
11/29/2022,1325.0,1325.0,1325.0,1325.0,0,0
11/30/2022,1328.75,1328.75,1328.75,1328.75,0,0
12/1/2022,1316.5,1316.5,1316.5,1316.5,0,0
12/2/2022,1326.5,1326.5,1326.5,1326.5,0,0
12/5/2022,1325.5,1325.5,1325.5,1325.5,0,0
12/6/2022,1331.75,1331.75,1331.75,1331.75,0,0
12/7/2022,1343.0,1343.0,1343.0,1343.0,0,0
12/8/2022,1339.5,1339.5,1339.5,1339.5,0,0
12/9/2022,1339.0,1339.0,1339.0,1339.0,0,0
12/12/2022,1328.25,1328.25,1328.25,1328.25,0,0
12/13/2022,1332.25,1332.25,1332.25,1332.25,0,0
12/14/2022,1330.75,1330.75,1330.75,1330.75,0,0
12/15/2022,1329.0,1329.0,1329.0,1329.0,0,0
12/16/2022,1326.75,1326.75,1326.75,1326.75,0,0
12/19/2022,1324.25,1324.25,1324.25,1324.25,0,0
12/20/2022,1331.25,1331.25,1331.25,1331.25,0,0
12/21/2022,1325.75,1325.75,1325.75,1325.75,0,0
12/22/2022,1320.75,1320.75,1320.75,1320.75,0,0
12/23/2022,1327.0,1327.0,1327.0,1327.0,0,0
12/27/2022,1324.5,1324.5,1324.5,1324.5,0,0
12/28/2022,1332.5,1332.5,1332.5,1332.5,0,0
12/29/2022,1332.0,1332.0,1332.0,1332.0,0,0
12/30/2022,1327.0,1327.0,1327.0,1327.0,0,0
1/3/2023,1325.25,1325.25,1325.25,1325.25,0,0
1/4/2023,1323.25,1323.25,1323.25,1323.25,0,0
