Date,Open,High,Low,Close,Vol,OI
12/15/2022,33887,33887,33887,33887,0,0
12/16/2022,33696,33696,33696,33696,0,0
12/19/2022,33521,33521,33521,33521,0,0
12/20/2022,33605,33605,33605,33605,0,0
12/21/2022,34131,34131,34131,34131,0,0
12/22/2022,33788,33788,33788,33788,0,0
12/23/2022,33950,33950,33950,33950,0,0
12/27/2022,33989,33989,33989,33989,0,0
12/28/2022,33622,33622,33622,33622,0,0
12/29/2022,33955,33955,33955,33955,0,0
12/30/2022,33884,33884,33884,33884,0,0
1/3/2023,33877,33877,33877,33877,0,0
1/4/2023,34009,34009,34009,34009,0,0
1/5/2023,33656,33656,33656,33656,0,0
1/6/2023,34366,34366,34366,34366,0,0
1/9/2023,34252,34252,34252,34252,0,0
1/10/2023,34434,34434,34434,34434,0,0
1/11/2023,34710,34710,34710,34710,0,0
1/12/2023,34940,34940,34940,34940,0,0
1/13/2023,35036,35036,35036,35036,0,0
1/17/2023,34630,34630,34630,34630,0,0
1/18/2023,33995,33995,33995,33995,0,0
1/19/2023,33739,33739,33739,33739,0,0
1/20/2023,34079,34079,34079,34079,0,0
1/23/2023,34341,34341,34341,34341,0,0
1/24/2023,34451,34451,34451,34451,0,0
1/25/2023,34439,34439,34439,34439,0,0
1/26/2023,34647,34647,34647,34647,0,0
1/27/2023,34674,34674,34674,34674,0,0
1/30/2023,34399,34399,34399,34399,0,0
1/31/2023,34780,34780,34780,34780,0,0
2/1/2023,34757,34757,34757,34757,0,0
2/2/2023,34740,34740,34740,34740,0,0
2/3/2023,34603,34603,34603,34603,0,0
2/6/2023,34570,34570,34570,34570,0,0
2/7/2023,34846,34846,34846,34846,0,0
2/8/2023,34647,34647,34647,34647,0,0
2/9/2023,34374,34374,34374,34374,0,0
2/10/2023,34524,34524,34524,34524,0,0
2/13/2023,34903,34903,34903,34903,0,0
2/14/2023,34742,34742,34742,34742,0,0
2/15/2023,34787,34787,34787,34787,0,0
2/16/2023,34359,34359,34359,34359,0,0
2/17/2023,34479,34479,34479,34479,0,0
2/21/2023,33765,33765,33765,33765,0,0
2/22/2023,33672,33672,33672,33672,0,0
2/23/2023,33784,33784,33784,33784,0,0
2/24/2023,33421,33421,33421,33421,0,0
2/27/2023,33500,33500,33500,33500,0,0
2/28/2023,33285,33285,33285,33285,0,0
3/1/2023,33264,33264,33264,33264,0,0
3/2/2023,33604,33604,33604,33604,0,0
3/3/2023,34005,34005,34005,34005,0,0
3/6/2023,34051,34051,34051,34051,0,0
3/7/2023,33682,33682,33450,33450,1,0
3/8/2023,33682,33682,33394,33394,1,1
3/9/2023,32825,32825,32825,32825,1,2
3/10/2023,32475,32475,32475,32475,0,2
3/13/2023,32374,32374,32374,32374,0,2
3/14/2023,32742,32742,32742,32742,0,2
3/15/2023,32409,32409,32409,32409,0,2
3/16/2023,32811,32811,32811,32811,0,2
3/17/2023,32638,32638,32407,32407,0,2
3/20/2023,32577,32801,32577,32801,1,1
3/21/2023,33016,33099,33016,33099,2,3
3/22/2023,32602,32602,32602,32602,1,4
3/23/2023,32607,32687,32607,32687,0,4
3/24/2023,32500,32775,32400,32775,1,3
3/27/2023,33005,33005,33005,33005,3,4
3/28/2023,32961,33080,32936,32936,0,4
3/29/2023,33256,33256,33256,33256,2,4
3/30/2023,33411,33411,33411,33411,0,4
3/31/2023,33680,33900,33680,33833,0,4
4/3/2023,34158,34158,34158,34158,2,6
4/4/2023,33950,33950,33950,33950,0,6
4/5/2023,34031,34031,34031,34031,0,6
4/6/2023,34031,34031,34031,34031,0,6
4/10/2023,34108,34108,34108,34108,0,6
4/11/2023,34160,34250,34160,34228,0,6
4/12/2023,34187,34187,34187,34187,3,9
4/13/2023,34576,34576,34576,34576,0,9
4/14/2023,34434,34434,34434,34434,0,9
4/17/2023,34500,34528,34500,34528,0,9
4/18/2023,34543,34543,34543,34543,1,10
4/19/2023,34460,34543,34443,34443,0,10
4/20/2023,34277,34327,34277,34327,2,11
4/21/2023,34356,34356,34356,34356,1,11
4/24/2023,34423,34423,34423,34423,0,11
4/25/2023,34063,34063,34063,34063,0,11
4/26/2023,33857,33857,33857,33857,0,11
4/27/2023,33967,34345,33967,34345,0,11
4/28/2023,34300,34698,34280,34617,1,12
5/1/2023,34777,34800,34584,34584,12,18
5/2/2023,34144,34197,34088,34197,14,28
5/3/2023,33904,33904,33904,33904,7,34
5/4/2023,33770,33770,33500,33609,0,34
5/5/2023,33678,34205,33678,34161,4,31
5/8/2023,34110,34110,34110,34110,6,31
5/9/2023,34066,34066,34066,34066,0,31
5/10/2023,33820,34027,33820,34027,0,31
5/11/2023,33800,33800,33789,33792,1,31
5/12/2023,33902,33902,33750,33781,5,28
5/15/2023,33877,33877,33779,33824,4,27
5/16/2023,33495,33495,33495,33495,2,28
5/17/2023,33908,33908,33908,33908,0,28
5/18/2023,34130,34141,34049,34049,0,28
5/19/2023,34092,34140,33934,33934,2,28
5/22/2023,34000,34000,33794,33794,2,28
5/23/2023,33794,33794,33618,33618,2,29
5/24/2023,33550,33550,33345,33345,1,29
5/25/2023,33292,33292,33292,33292,3,30
5/26/2023,33397,33653,33397,33611,0,30
5/30/2023,33738,33738,33575,33575,5,31
5/31/2023,33538,33555,33400,33477,3,28
6/1/2023,33400,33600,33303,33593,7,30
6/2/2023,33799,34387,33799,34319,4,29
6/5/2023,34347,34347,34112,34112,7,30
6/6/2023,34094,34106,34094,34106,3,32
6/7/2023,34199,34199,34199,34199,6,35
6/8/2023,34400,34400,34361,34361,0,35
6/9/2023,34505,34557,34400,34434,11,36
6/12/2023,34480,34597,34480,34597,7,37
6/13/2023,34713,34889,34712,34764,2,39
6/14/2023,34670,34670,34520,34520,8,43
6/15/2023,34559,35038,34488,34961,3,44
6/16/2023,34980,35102,34899,34899,69,87
6/20/2023,34880,34880,34515,34656,190,186
6/21/2023,34652,34675,34488,34536,114,215
6/22/2023,34556,34556,34410,34513,122,217
6/23/2023,34445,34445,34200,34274,113,236
6/26/2023,34330,34333,34215,34268,84,212
6/27/2023,34333,34529,34216,34486,56,218
6/28/2023,34473,34473,34319,34397,96,223
6/29/2023,34481,34679,34393,34659,50,234
6/30/2023,34660,34987,34630,34951,83,248
7/3/2023,34949,34975,34930,34941,63,271
7/5/2023,34936,34936,34755,34816,5,273
7/6/2023,34791,34791,34279,34436,36,271
7/7/2023,34391,34510,34239,34239,127,262
7/10/2023,34291,34468,34118,34454,71,261
7/11/2023,34461,34774,34380,34774,58,268
7/12/2023,34762,35079,34732,34860,58,277
7/13/2023,34898,34950,34854,34901,126,308
7/14/2023,34840,35081,34817,34989,52,311
7/17/2023,34955,35128,34903,35079,71,301
7/18/2023,35068,35475,35048,35459,47,306
7/19/2023,35437,35730,35437,35570,85,336
7/20/2023,35524,35868,35524,35724,108,346
7/21/2023,35748,35828,35683,35721,171,397
7/24/2023,35680,35950,35679,35905,334,434
7/25/2023,35887,36010,35870,35932,129,461
7/26/2023,35903,36106,35815,36012,83,474
7/27/2023,35956,36150,35690,35763,108,484
7/28/2023,35780,35995,35740,35929,177,521
7/31/2023,35900,36029,35884,36029,301,523
8/1/2023,36029,36125,35921,36092,52,521
8/2/2023,35965,36041,35695,35739,58,522
8/3/2023,35767,35825,35563,35645,334,601
8/4/2023,35708,35910,35460,35483,351,564
8/7/2023,35507,35911,35505,35883,228,525
8/8/2023,35836,35844,35410,35726,145,547
8/9/2023,35704,35808,35475,35530,235,551
8/10/2023,35621,35978,35515,35578,91,547
8/11/2023,35599,35740,35447,35680,388,591
8/14/2023,35720,35757,35573,35700,231,642
8/15/2023,35670,35725,35291,35337,340,752
8/16/2023,35322,35511,35142,35151,412,801
8/17/2023,35179,35268,34850,34864,326,826
8/18/2023,34861,34980,34664,34895,399,853
8/21/2023,34914,35027,34646,34860,320,870
8/22/2023,34821,34975,34650,34677,587,1122
8/23/2023,34703,34909,34685,34853,243,1150
8/24/2023,34880,35063,34431,34471,1300,1845
8/25/2023,34495,34816,34399,34704,747,2121
8/28/2023,34770,35013,34749,34924,348,2148
8/29/2023,34936,35230,34873,35210,449,2167
8/30/2023,35216,35417,35178,35283,382,2212
8/31/2023,35344,35491,35100,35121,601,2270
9/1/2023,35126,35337,35088,35213,384,2304
9/5/2023,35180,35285,35001,35008,656,2546
9/6/2023,35014,35026,34648,34806,1805,3298
9/7/2023,34797,34904,34693,34848,4169,5017
9/8/2023,34871,34984,34755,34934,9016,7549
9/11/2023,34950,35143,34904,35012,49970,22884
9/12/2023,35000,35206,34881,34996,129911,45888
9/13/2023,34991,35120,34843,34918,155936,75205
9/14/2023,34932,35323,34914,35257,147616,81001
9/15/2023,35285,35357,34887,34927,178872,82970
9/18/2023,34930,35038,34848,34935,173216,83870
9/19/2023,34942,34991,34606,34817,122942,84292
