Date,Open,High,Low,Close,Vol,OI
6/21/2022,132.84375,132.84375,132.84375,132.84375,0,0
6/22/2022,135.34375,135.34375,135.34375,135.34375,0,0
6/23/2022,136.46875,136.46875,136.46875,136.46875,0,0
6/24/2022,135.5,135.5,135.5,135.5,0,0
6/27/2022,134.78125,134.78125,134.78125,134.78125,0,0
6/28/2022,134.59375,134.59375,134.59375,134.59375,0,0
6/29/2022,136.0625,136.0625,136.0625,136.0625,0,0
6/30/2022,137.75,137.75,137.75,137.75,0,0
7/1/2022,138.46875,138.46875,138.46875,138.46875,0,0
7/5/2022,140.375,140.375,140.375,140.375,0,0
7/6/2022,139.0,139.0,139.0,139.0,0,0
7/7/2022,137.8125,137.8125,137.8125,137.8125,0,0
7/8/2022,136.25,136.25,136.25,136.25,0,0
7/11/2022,138.03125,138.03125,138.03125,138.03125,0,0
7/12/2022,138.65625,138.65625,138.65625,138.65625,0,0
7/13/2022,139.8125,139.8125,139.8125,139.8125,0,0
7/14/2022,139.0625,139.0625,139.0625,139.0625,0,0
7/15/2022,139.46875,139.46875,139.46875,139.46875,0,0
7/18/2022,138.71875,138.71875,138.71875,138.71875,0,0
7/19/2022,138.0625,138.0625,138.0625,138.0625,0,0
7/20/2022,138.0,138.0,138.0,138.0,0,0
7/21/2022,139.90625,139.90625,139.90625,139.90625,0,0
7/22/2022,141.625,141.625,141.625,141.625,0,0
7/25/2022,140.9375,140.9375,140.9375,140.9375,0,0
7/26/2022,141.625,141.625,141.625,141.625,0,0
7/27/2022,142.3125,142.3125,142.3125,142.3125,0,0
7/28/2022,142.65625,142.65625,142.65625,142.65625,0,0
7/29/2022,143.5,143.5,143.5,143.5,0,0
8/1/2022,144.1875,144.1875,144.1875,144.1875,0,0
8/2/2022,142.46875,142.46875,142.46875,142.46875,0,0
8/3/2022,142.3125,142.3125,142.3125,142.3125,0,0
8/4/2022,143.1875,143.1875,143.1875,143.1875,0,0
8/5/2022,140.28125,140.75,140.28125,140.75,1,0
8/8/2022,142.03125,142.03125,142.03125,142.03125,1,1
8/9/2022,141.875,141.875,141.875,141.875,0,1
8/10/2022,141.40625,141.40625,141.40625,141.40625,0,1
8/11/2022,139.5,139.5,139.5,139.5,0,1
8/12/2022,140.0625,140.0625,140.0625,140.0625,0,1
8/15/2022,141.0,141.0,141.0,141.0,2,3
8/16/2022,140.6875,140.6875,140.6875,140.6875,0,3
8/17/2022,139.0,139.78125,139.0,139.78125,0,3
8/18/2022,139.90625,139.90625,139.90625,139.90625,1,3
8/19/2022,137.875,137.875,137.875,137.875,0,3
8/22/2022,137.21875,137.21875,137.21875,137.21875,0,3
8/23/2022,136.875,136.875,136.875,136.875,0,3
8/24/2022,135.625,135.8125,135.625,135.8125,0,3
8/25/2022,137.1875,137.1875,137.1875,137.1875,1,4
8/26/2022,137.09375,137.09375,137.09375,137.09375,0,4
8/29/2022,135.9375,135.96875,135.9375,135.96875,0,4
8/30/2022,136.1875,136.1875,136.1875,136.1875,5,9
8/31/2022,135.78125,135.78125,135.0,135.78125,1,10
9/1/2022,134.1875,134.1875,133.375,133.5,3,12
9/2/2022,133.46875,134.5,133.46875,134.5,5,16
9/6/2022,132.65625,132.65625,132.34375,132.34375,4,12
9/7/2022,132.75,133.5625,132.75,133.5625,1,13
9/8/2022,134.0,134.0,133.1875,133.1875,8,18
9/9/2022,133.59375,133.59375,132.78125,132.84375,1,17
9/12/2022,132.8125,132.8125,132.0,132.21875,2,19
9/13/2022,131.5,131.8125,131.5,131.8125,3,21
9/14/2022,131.3125,132.125,131.3125,131.8125,9,21
9/15/2022,132.1875,132.1875,131.25,131.25,11,29
9/16/2022,131.0,131.0,130.5,131.0,5,30
9/19/2022,130.78125,130.78125,130.78125,130.78125,12,31
9/20/2022,129.625,130.15625,129.625,129.6875,0,31
9/21/2022,130.46875,130.46875,130.46875,130.46875,3,31
9/22/2022,129.0,129.0,128.0625,128.0625,0,31
9/23/2022,127.0,128.625,127.0,128.625,3,34
9/26/2022,127.9375,127.9375,126.0,126.375,3,36
9/27/2022,125.625,125.625,124.46875,124.625,28,42
9/28/2022,124.0,127.5,124.0,127.5,29,52
9/29/2022,126.625,127.09375,125.625,126.875,23,54
9/30/2022,126.28125,127.5625,126.21875,126.21875,35,73
10/3/2022,126.40625,128.9375,126.28125,128.0,34,62
10/4/2022,128.28125,129.03125,128.28125,128.375,28,72
10/5/2022,128.28125,128.28125,126.3125,126.5,10,77
10/6/2022,126.75,126.75,126.0,126.0,16,81
10/7/2022,125.65625,125.78125,125.0,125.25,3,80
10/10/2022,125.3125,125.53125,123.59375,123.96875,30,90
10/11/2022,124.15625,125.1875,123.71875,124.53125,22,91
10/12/2022,124.5625,125.03125,123.8125,125.03125,162,194
10/13/2022,125.09375,125.71875,123.15625,124.5,73,206
10/14/2022,124.9375,125.5,123.65625,123.65625,238,302
10/17/2022,123.5,124.09375,123.125,123.28125,150,333
10/18/2022,123.0,123.71875,122.40625,123.46875,466,741
10/19/2022,122.03125,122.46875,121.71875,121.71875,31,758
10/20/2022,121.59375,122.0,120.125,120.28125,283,906
10/21/2022,120.125,120.125,118.125,118.90625,159,968
10/24/2022,119.28125,119.84375,117.4375,118.0625,207,992
10/25/2022,118.375,120.4375,118.28125,119.84375,634,1301
10/26/2022,120.03125,121.46875,120.0,121.25,735,1398
10/27/2022,121.53125,122.46875,120.59375,122.125,1651,1819
10/28/2022,122.0625,122.3125,120.6875,121.0625,604,2096
10/31/2022,120.9375,120.9375,119.875,120.1875,876,2105
11/1/2022,120.9375,122.5625,120.75,120.84375,1616,2696
11/2/2022,121.0625,121.8125,119.9375,120.5,1040,2804
11/3/2022,120.0625,120.25,118.5,120.09375,2221,4639
11/4/2022,119.84375,120.0,118.78125,119.21875,541,4683
11/7/2022,119.40625,119.75,118.125,118.3125,513,4735
11/8/2022,118.125,119.75,118.0,119.6875,749,5070
11/9/2022,119.65625,120.4375,118.96875,119.40625,2007,5686
11/10/2022,120.21875,124.03125,119.78125,123.875,1053,6077
11/11/2022,124.125,124.125,122.84375,123.59375,3539,7214
11/14/2022,123.1875,123.625,122.6875,123.4375,981,7511
11/15/2022,123.4375,124.875,123.3125,124.3125,4247,9700
11/16/2022,124.6875,126.46875,123.875,126.21875,13625,19188
11/17/2022,126.21875,126.5,125.0,125.625,15694,32455
11/18/2022,125.5625,126.09375,125.09375,125.25,21167,49159
11/21/2022,125.1875,126.21875,125.0,125.3125,45421,87496
11/22/2022,125.1875,126.71875,125.15625,126.46875,204627,236954
11/23/2022,126.53125,127.78125,126.15625,127.46875,625142,684645
11/25/2022,127.53125,128.40625,126.96875,127.46875,389760,939663
11/28/2022,127.4375,128.53125,127.15625,127.375,160507,1014919
11/29/2022,127.5625,128.125,126.375,126.65625,323701,1157667
11/30/2022,126.59375,128.34375,126.0,127.0,300414,1167022
12/1/2022,128.15625,129.84375,127.78125,129.5,560751,1172793
12/2/2022,129.75,130.28125,128.21875,129.78125,400150,1170337
12/5/2022,129.875,130.0,128.375,128.8125,386641,1164385
12/6/2022,129.15625,130.46875,128.75,130.40625,259981,1164064
12/7/2022,130.15625,132.0,129.75,131.9375,257620,1166521
12/8/2022,131.59375,131.625,130.71875,131.0,324560,1164296
12/9/2022,131.1875,131.6875,129.46875,129.90625,273777,1163108
12/12/2022,129.625,130.9375,129.34375,129.65625,248160,1165613
12/13/2022,129.65625,132.40625,129.5,131.21875,280933,1170071
12/14/2022,131.03125,131.6875,130.3125,131.15625,398769,1182430
12/15/2022,131.375,132.46875,130.78125,132.0625,301737,1180867
12/16/2022,132.0,132.03125,130.25,131.15625,273254,1184784
12/19/2022,131.0,131.03125,129.28125,129.78125,264520,1185006
12/20/2022,129.625,129.6875,127.59375,128.09375,211544,1191268
12/21/2022,128.125,128.9375,127.59375,128.15625,311227,1196876
12/22/2022,128.4375,128.875,128.0,128.4375,232284,1192145
12/23/2022,128.25,128.28125,127.09375,127.15625,170765,1194495
12/27/2022,127.34375,127.46875,125.28125,125.3125,168148,1190996
12/28/2022,125.46875,125.96875,124.6875,124.90625,182645,1196910
12/29/2022,124.90625,125.75,124.625,125.5,179049,1196022
12/30/2022,125.59375,125.65625,124.34375,125.34375,159477,1199102
1/3/2023,125.5,127.1875,125.09375,126.21875,274460,1195187
1/4/2023,126.75,128.125,126.53125,127.5,321925,1198206
1/5/2023,127.5,127.8125,126.46875,127.53125,318933,1198417
1/6/2023,127.5,129.5,126.84375,129.21875,253816,1199634
1/9/2023,129.15625,130.03125,128.5,129.90625,392821,1194653
1/10/2023,129.59375,129.84375,127.9375,128.21875,304125,1187401
1/11/2023,128.21875,129.5,128.125,129.09375,281414,1184354
1/12/2023,129.1875,130.96875,127.9375,130.65625,295424,1175661
1/13/2023,130.5625,131.3125,129.84375,130.0,467713,1192268
1/17/2023,130.0625,130.1875,128.75,129.71875,312427,1208854
1/18/2023,129.5,132.28125,129.4375,132.0625,297548,1220279
1/19/2023,132.0625,132.96875,131.28125,131.75,508870,1244856
1/20/2023,131.8125,131.84375,130.09375,130.46875,310173,1246072
1/23/2023,130.53125,130.75,129.5625,129.84375,308147,1251391
1/24/2023,130.03125,131.125,129.5,130.84375,237193,1235017
1/25/2023,131.15625,131.65625,130.5,130.8125,271907,1233509
1/26/2023,131.1875,131.25,130.0,130.40625,298348,1233734
1/27/2023,130.28125,130.40625,129.3125,130.15625,276422,1230102
1/30/2023,130.28125,130.5,129.375,129.78125,233597,1221292
1/31/2023,129.84375,130.59375,129.46875,129.875,276531,1224226
2/1/2023,130.1875,131.875,129.96875,131.65625,442628,1223850
2/2/2023,131.40625,132.6875,131.25,131.78125,438963,1208453
