Date,Open,High,Low,Close,Vol,OI
12/13/2019,413.5,413.5,413.5,413.5,0,0
12/16/2019,415.5,415.5,415.5,415.5,0,0
12/17/2019,415.25,415.25,415.25,415.25,0,0
12/18/2019,414.0,414.0,414.0,414.0,0,0
12/19/2019,414.0,414.0,414.0,414.0,0,0
12/20/2019,413.75,413.75,413.75,413.75,0,0
12/23/2019,418.0,418.0,414.5,414.5,2,0
12/24/2019,414.75,414.75,414.75,414.75,2,2
12/26/2019,425.75,425.75,425.75,425.75,0,2
12/27/2019,425.25,425.25,425.25,425.25,0,2
12/30/2019,426.0,426.0,426.0,426.0,0,2
12/31/2019,425.0,425.0,425.0,425.0,0,2
1/2/2020,424.5,424.5,424.5,424.5,0,2
1/3/2020,422.5,422.5,422.5,422.5,0,2
1/6/2020,423.75,423.75,423.75,423.75,0,2
1/7/2020,423.75,423.75,423.75,423.75,0,2
1/8/2020,423.75,423.75,423.75,423.75,0,2
1/9/2020,422.75,422.75,422.75,422.75,0,2
1/10/2020,420.0,420.0,420.0,420.0,0,2
1/13/2020,420.0,420.0,420.0,420.0,0,2
1/14/2020,419.0,419.0,419.0,419.0,0,2
1/15/2020,418.25,418.25,418.25,418.25,0,2
1/16/2020,416.0,416.0,416.0,416.0,0,2
1/17/2020,417.5,417.5,417.5,417.5,0,2
1/21/2020,416.75,416.75,416.75,416.75,0,2
1/22/2020,416.75,416.75,416.75,416.75,0,2
1/23/2020,417.5,417.5,417.5,417.5,0,2
1/24/2020,416.0,416.0,416.0,416.0,0,2
1/27/2020,415.75,415.75,415.75,415.75,0,2
1/28/2020,416.25,416.25,416.25,416.25,0,2
1/29/2020,415.5,415.5,415.5,415.5,0,2
1/30/2020,415.0,415.75,415.0,415.75,0,2
1/31/2020,415.75,415.75,415.75,415.75,5,5
2/3/2020,415.75,415.75,415.75,415.75,0,5
2/4/2020,416.0,416.0,416.0,416.0,0,5
2/5/2020,415.25,415.25,415.25,415.25,0,5
2/6/2020,415.25,415.25,415.25,415.25,0,5
2/7/2020,415.5,415.5,415.5,415.5,0,5
2/10/2020,415.5,415.5,415.5,415.5,0,5
2/11/2020,415.0,415.75,414.5,415.75,0,5
2/12/2020,415.75,415.75,415.75,415.75,3,8
2/13/2020,415.75,415.75,415.75,415.75,0,8
2/14/2020,414.75,414.75,414.75,414.75,0,8
2/18/2020,414.5,416.0,414.5,416.0,0,8
2/19/2020,415.75,415.75,415.75,415.75,4,12
2/20/2020,414.75,414.75,414.75,414.75,0,12
2/21/2020,414.5,414.75,414.5,414.75,5,17
2/24/2020,414.5,414.5,410.25,411.0,23,40
2/25/2020,412.0,412.0,412.0,412.0,9,48
