Date,Open,High,Low,Close,Vol,OI
12/14/2022,58.51,58.51,58.51,58.51,0,0
12/15/2022,58.64,58.64,58.64,58.64,0,0
12/16/2022,57.9,57.9,57.9,57.9,0,0
12/19/2022,58.55,58.55,58.55,58.55,0,0
12/20/2022,59.17,59.17,59.17,59.17,0,0
12/21/2022,58.64,58.64,58.64,58.64,0,0
12/22/2022,57.95,57.95,57.95,57.95,0,0
12/23/2022,58.41,58.41,58.41,58.41,0,0
12/27/2022,59.71,59.71,59.71,59.71,0,0
12/28/2022,58.81,58.81,58.81,58.81,0,0
12/29/2022,60.25,60.25,60.25,60.25,0,0
12/30/2022,59.19,59.19,59.19,59.19,0,0
1/3/2023,58.35,58.35,58.35,58.35,0,0
1/4/2023,57.88,57.88,57.88,57.88,0,0
1/5/2023,57.16,57.16,57.16,57.16,0,0
1/6/2023,57.59,57.59,57.59,57.59,0,0
1/9/2023,58.07,58.07,58.07,58.07,0,0
1/10/2023,57.95,57.95,57.95,57.95,0,0
1/11/2023,57.51,57.51,57.51,57.51,0,0
1/12/2023,58.57,58.57,58.57,58.57,0,0
1/13/2023,58.26,58.26,58.26,58.26,0,0
1/17/2023,59.09,59.09,59.09,59.09,0,0
1/18/2023,58.7,58.7,58.7,58.7,0,0
1/19/2023,58.22,58.22,58.22,58.22,0,0
1/20/2023,57.74,57.74,57.74,57.74,0,0
1/23/2023,57.89,57.89,57.89,57.89,0,0
1/24/2023,57.24,57.24,57.24,57.24,0,0
1/25/2023,57.14,57.14,57.14,57.14,0,0
1/26/2023,57.45,57.45,57.45,57.45,0,0
1/27/2023,57.73,57.73,57.73,57.73,0,0
1/30/2023,58.31,58.31,58.31,58.31,0,0
1/31/2023,58.97,58.97,58.97,58.97,0,0
2/1/2023,58.12,58.12,58.12,58.12,0,0
2/2/2023,58.02,58.02,58.02,58.02,0,0
2/3/2023,57.1,57.1,57.1,57.1,0,0
2/6/2023,56.99,56.99,56.99,56.99,0,0
2/7/2023,57.99,57.99,57.99,57.99,0,0
2/8/2023,57.26,57.26,57.26,57.26,0,0
2/9/2023,55.98,55.98,55.98,55.98,0,0
2/10/2023,56.88,56.88,56.88,56.88,0,0
2/13/2023,56.5,56.5,56.5,56.5,0,0
2/14/2023,56.59,56.59,56.59,56.59,0,0
2/15/2023,56.98,56.98,56.98,56.98,0,0
2/16/2023,57.93,57.93,57.93,57.93,0,0
2/17/2023,57.67,57.67,57.67,57.67,0,0
2/21/2023,58.4,58.4,58.4,58.4,0,0
2/22/2023,58.2,58.2,58.2,58.2,0,0
2/23/2023,57.04,57.04,57.04,57.04,0,0
2/24/2023,56.13,56.13,56.13,56.13,0,0
2/27/2023,56.09,56.09,56.09,56.09,0,0
2/28/2023,55.64,55.64,55.64,55.64,0,0
