Date,Open,High,Low,Close,Vol,OI
12/14/2021,345.9,345.9,345.9,345.9,0,0
12/15/2021,341.6,341.6,341.6,341.6,0,0
12/16/2021,336.8,336.8,336.8,336.8,0,0
12/17/2021,342.3,342.3,342.3,342.3,0,0
12/20/2021,347.2,347.2,347.2,347.2,0,0
12/21/2021,345.1,345.1,345.1,345.1,0,0
12/22/2021,346.2,346.2,346.2,346.2,0,0
12/23/2021,342.4,342.4,342.4,342.4,0,0
12/27/2021,338.9,338.9,338.9,338.9,0,0
12/28/2021,340.5,340.5,340.5,340.5,0,0
12/29/2021,343.6,343.6,343.6,343.6,0,0
12/30/2021,346.3,346.3,346.3,346.3,0,0
12/31/2021,348.0,348.0,348.0,348.0,0,0
1/3/2022,351.9,351.9,351.9,351.9,0,0
1/4/2022,346.3,346.3,346.3,346.3,0,0
1/5/2022,343.1,343.1,343.1,343.1,0,0
1/6/2022,344.7,344.7,344.7,344.7,0,0
1/7/2022,350.8,350.8,350.8,350.8,0,0
1/10/2022,347.0,347.0,347.0,347.0,0,0
1/11/2022,347.0,347.0,347.0,347.0,0,0
1/12/2022,350.3,350.3,350.3,350.3,0,0
1/13/2022,356.4,356.4,356.4,356.4,0,0
1/14/2022,353.5,353.5,353.5,353.5,0,0
1/18/2022,345.9,345.9,345.9,345.9,0,0
1/19/2022,350.0,350.0,350.0,350.0,0,0
1/20/2022,349.8,349.8,349.8,349.8,0,0
1/21/2022,348.4,348.4,348.4,348.4,0,0
1/24/2022,348.0,348.0,348.0,348.0,0,0
1/25/2022,350.3,350.3,350.3,350.3,0,0
1/26/2022,350.3,350.3,350.3,350.3,0,0
1/27/2022,350.1,350.1,350.1,350.1,0,0
1/28/2022,348.4,348.4,348.4,348.4,0,0
1/31/2022,347.5,347.5,347.5,347.5,0,0
2/1/2022,351.2,351.2,351.2,351.2,0,0
2/2/2022,341.6,341.6,341.6,341.6,0,0
2/3/2022,342.4,342.4,342.4,342.4,0,0
2/4/2022,343.0,343.0,343.0,343.0,0,0
2/7/2022,347.2,347.2,347.2,347.2,0,0
2/8/2022,341.5,341.5,341.5,341.5,0,0
2/9/2022,347.7,347.7,347.7,347.7,0,0
2/10/2022,345.3,345.3,345.3,345.3,0,0
2/11/2022,349.0,349.0,349.0,349.0,0,0
2/14/2022,349.8,349.8,349.8,349.8,0,0
2/15/2022,349.7,349.7,349.7,349.7,0,0
2/16/2022,350.3,350.3,350.3,350.3,0,0
2/17/2022,352.3,352.3,352.3,352.3,0,0
2/18/2022,349.5,349.5,349.5,349.5,0,0
2/22/2022,349.1,349.1,349.1,349.1,0,0
2/23/2022,354.4,354.4,354.4,354.4,0,0
2/24/2022,348.9,348.9,348.9,348.9,0,0
2/25/2022,348.0,348.0,344.3,344.3,7,0
2/28/2022,344.3,344.3,344.3,344.3,7,4
3/1/2022,354.8,354.8,354.8,354.8,0,4
3/2/2022,357.7,357.7,357.7,357.7,0,4
3/3/2022,355.5,355.5,355.5,355.5,0,4
3/4/2022,351.6,351.6,351.6,351.6,0,4
3/7/2022,346.8,346.8,346.8,346.8,0,4
3/8/2022,342.9,342.9,342.9,342.9,0,4
3/9/2022,348.2,348.2,348.2,348.2,0,4
3/10/2022,357.9,357.9,357.9,357.9,0,4
3/11/2022,360.7,360.7,360.7,360.7,0,4
3/14/2022,362.5,362.5,362.5,362.5,0,4
3/15/2022,358.7,358.7,358.7,358.7,0,4
3/16/2022,355.6,355.6,355.6,355.6,0,4
3/17/2022,355.0,355.0,355.0,355.0,0,4
3/18/2022,359.6,359.6,359.6,359.6,0,4
3/21/2022,365.4,365.4,365.4,365.4,0,4
3/22/2022,364.6,364.6,364.6,364.6,0,4
3/23/2022,368.4,368.4,368.4,368.4,0,4
3/24/2022,368.0,368.0,368.0,368.0,0,4
3/25/2022,368.4,368.4,368.4,368.4,0,4
3/28/2022,367.5,367.5,367.5,367.5,0,4
3/29/2022,364.0,364.0,364.0,364.0,0,4
3/30/2022,370.1,370.1,370.1,370.1,0,4
3/31/2022,362.9,362.9,362.9,362.9,0,4
4/1/2022,363.4,363.4,363.4,363.4,0,4
4/4/2022,368.6,368.6,368.6,368.6,0,4
4/5/2022,372.1,372.1,372.1,372.1,0,4
4/6/2022,372.8,372.8,372.8,372.8,0,4
4/7/2022,376.6,376.6,376.6,376.6,0,4
4/8/2022,379.6,379.6,379.6,379.6,0,4
4/11/2022,378.5,378.5,378.5,378.5,0,4
4/12/2022,382.3,382.3,382.3,382.3,0,4
4/13/2022,377.5,377.5,377.5,377.5,0,4
4/14/2022,375.7,375.7,375.7,375.7,0,4
4/18/2022,378.4,378.4,378.4,378.4,0,4
4/19/2022,380.6,380.6,380.6,380.6,0,4
4/20/2022,380.7,380.7,380.7,380.7,0,4
4/21/2022,380.4,380.4,380.4,380.4,0,4
4/22/2022,375.9,375.9,375.9,375.9,0,4
4/25/2022,375.0,375.0,375.0,375.0,0,4
4/26/2022,369.4,369.4,369.4,369.4,0,4
4/27/2022,370.3,370.3,370.3,370.3,0,4
4/28/2022,367.9,367.9,367.9,367.9,0,4
4/29/2022,369.3,369.3,369.3,369.3,0,4
5/2/2022,373.7,373.7,373.7,373.7,0,4
5/3/2022,373.4,373.4,373.4,373.4,0,4
5/4/2022,371.6,371.6,371.6,371.6,0,4
5/5/2022,372.5,372.5,372.5,372.5,0,4
5/6/2022,370.0,370.0,370.0,370.0,0,4
5/9/2022,373.6,373.6,373.6,373.6,0,4
5/10/2022,373.2,373.2,373.2,373.2,103,99
5/11/2022,369.8,369.8,369.8,369.8,0,99
5/12/2022,369.4,369.4,369.4,369.4,0,99
5/13/2022,368.7,368.7,368.7,368.7,0,99
5/16/2022,372.4,372.4,372.4,372.4,0,99
5/17/2022,371.2,371.2,371.2,371.2,0,99
5/18/2022,370.7,370.7,370.7,370.7,0,99
5/19/2022,364.5,372.8,364.3,372.8,0,99
5/20/2022,375.7,375.7,375.7,375.7,11,105
5/23/2022,376.5,376.5,376.5,376.5,0,105
5/24/2022,375.9,375.9,375.9,375.9,0,105
5/25/2022,376.5,376.5,376.5,376.5,0,105
5/26/2022,376.4,376.4,376.4,376.4,0,105
5/27/2022,375.2,375.2,375.2,375.2,0,105
5/31/2022,361.7,361.7,361.7,361.7,0,105
6/1/2022,359.7,359.7,359.7,359.7,0,105
6/2/2022,358.9,358.9,358.9,358.9,0,105
6/3/2022,353.9,353.9,353.9,353.9,0,105
6/6/2022,354.8,354.8,354.8,354.8,0,105
6/7/2022,358.2,358.2,358.2,358.2,0,105
6/8/2022,356.6,356.6,356.6,356.6,0,105
6/9/2022,360.3,360.3,360.3,360.3,0,105
6/10/2022,359.6,359.6,359.6,359.6,0,105
6/13/2022,353.7,353.7,353.7,353.7,0,105
6/14/2022,353.7,353.7,353.7,353.7,0,105
6/15/2022,355.5,355.5,355.5,355.5,0,105
6/16/2022,364.2,364.2,364.2,364.2,0,105
6/17/2022,365.9,365.9,365.9,365.9,0,105
6/21/2022,364.5,364.5,364.5,364.5,0,105
6/22/2022,364.8,364.8,364.8,364.8,0,105
6/23/2022,360.4,360.4,360.4,360.4,0,105
6/24/2022,357.6,357.6,357.6,357.6,0,105
6/27/2022,358.0,358.0,358.0,358.0,0,105
6/28/2022,361.2,361.2,361.2,361.2,0,105
6/29/2022,362.4,362.4,362.4,362.4,0,105
6/30/2022,363.1,363.1,363.1,363.1,0,105
7/1/2022,353.4,353.4,353.4,353.4,0,105
7/5/2022,351.8,351.8,351.8,351.8,0,105
7/6/2022,352.3,352.3,352.3,352.3,0,105
7/7/2022,354.6,354.6,347.3,354.6,6,105
7/8/2022,363.6,363.6,363.6,363.6,2,105
7/11/2022,362.2,362.2,362.2,362.2,0,105
7/12/2022,354.6,354.6,354.6,354.6,0,105
7/13/2022,364.0,364.0,364.0,364.0,0,105
7/14/2022,365.0,365.0,365.0,365.0,0,105
7/15/2022,353.8,353.8,353.8,353.8,0,105
7/18/2022,358.0,358.0,358.0,358.0,0,105
7/19/2022,357.3,357.3,357.3,357.3,0,105
7/20/2022,357.7,357.7,357.7,357.7,0,105
7/21/2022,353.6,353.6,353.6,353.6,0,105
7/22/2022,351.5,351.5,351.5,351.5,0,105
7/25/2022,365.5,365.5,365.5,365.5,0,105
7/26/2022,371.5,371.5,371.5,371.5,0,105
7/27/2022,374.0,374.0,374.0,374.0,0,105
7/28/2022,371.4,371.4,371.4,371.4,0,105
7/29/2022,371.4,371.4,371.4,371.4,0,105
8/1/2022,364.0,364.0,364.0,364.0,0,105
8/2/2022,372.0,372.0,370.9,370.9,0,105
8/3/2022,365.0,365.0,365.0,365.0,85,146
8/4/2022,379.0,379.0,379.0,379.0,0,146
8/5/2022,368.0,368.0,368.0,368.0,0,146
8/8/2022,363.3,363.3,363.3,363.3,0,146
8/9/2022,370.0,370.0,370.0,370.0,0,146
8/10/2022,367.7,367.7,367.7,367.7,0,146
8/11/2022,369.7,369.7,369.7,369.7,0,146
8/12/2022,369.9,369.9,369.9,369.9,0,146
8/15/2022,364.6,364.6,364.6,364.6,0,146
8/16/2022,364.0,364.0,364.0,364.0,0,146
8/17/2022,367.5,367.8,367.5,367.8,0,146
8/18/2022,372.5,373.9,372.5,373.3,2,146
8/19/2022,366.4,366.4,366.4,366.4,4,145
8/22/2022,375.9,375.9,375.9,375.9,0,145
8/23/2022,379.8,379.8,379.8,379.8,0,145
8/24/2022,381.8,381.8,381.8,381.8,0,145
8/25/2022,378.2,378.2,378.2,378.2,0,145
