Date,Open,High,Low,Close,Vol,OI
9/14/2022,377.75,377.75,377.75,377.75,0,0
9/15/2022,374.0,374.0,374.0,374.0,0,0
9/16/2022,375.0,375.0,375.0,375.0,0,0
9/19/2022,380.5,380.5,380.5,380.5,0,0
9/20/2022,391.25,391.25,391.25,391.25,0,0
9/21/2022,395.25,395.25,395.25,395.25,0,0
9/22/2022,395.25,395.25,395.25,395.25,0,0
9/23/2022,374.0,374.0,374.0,374.0,0,0
9/26/2022,359.5,359.5,359.5,359.5,0,0
9/27/2022,350.75,350.75,350.75,350.75,0,0
9/28/2022,357.75,357.75,357.75,357.75,0,0
9/29/2022,362.75,362.75,362.75,362.75,0,0
9/30/2022,369.75,369.75,369.75,369.75,0,0
10/3/2022,379.75,379.75,379.75,379.75,0,0
10/4/2022,382.75,382.75,382.75,382.75,0,0
10/5/2022,381.75,381.75,381.75,381.75,0,0
10/6/2022,376.25,376.25,376.25,376.25,0,0
10/7/2022,360.0,360.0,360.0,360.0,0,0
10/10/2022,365.5,365.5,365.5,365.5,0,0
10/11/2022,372.25,372.25,372.25,372.25,0,0
10/12/2022,382.0,382.0,382.0,382.0,0,0
10/13/2022,385.25,385.25,385.25,385.25,0,0
10/14/2022,375.25,375.25,375.25,375.25,0,0
10/17/2022,368.75,368.75,368.75,368.75,0,0
10/18/2022,367.5,367.5,367.5,367.5,0,0
10/19/2022,367.75,367.75,367.75,367.75,0,0
10/20/2022,370.5,370.5,370.5,370.5,0,0
10/21/2022,369.75,369.75,369.75,369.75,0,0
10/24/2022,370.5,370.5,370.5,370.5,0,0
10/25/2022,368.0,368.0,368.0,368.0,0,0
10/26/2022,366.25,366.25,366.25,366.25,0,0
10/27/2022,366.0,366.0,366.0,366.0,0,0
10/28/2022,374.25,374.25,374.25,374.25,0,0
10/31/2022,390.25,390.25,390.25,390.25,0,0
11/1/2022,402.25,402.25,402.25,402.25,0,0
11/2/2022,398.75,398.75,398.75,398.75,0,0
11/3/2022,391.0,391.0,391.0,391.0,0,0
11/4/2022,396.25,396.25,396.25,396.25,0,0
11/7/2022,386.0,386.0,386.0,386.0,0,0
11/8/2022,385.75,385.75,385.75,385.75,0,0
11/9/2022,385.0,385.0,385.0,385.0,0,0
11/10/2022,382.0,382.0,382.0,382.0,0,0
11/11/2022,391.0,391.0,391.0,391.0,0,0
11/14/2022,399.25,399.25,399.25,399.25,0,0
11/15/2022,398.0,398.0,398.0,398.0,0,0
11/16/2022,395.5,395.5,395.5,395.5,0,0
11/17/2022,395.25,395.25,395.25,395.25,0,0
11/18/2022,394.0,394.0,394.0,394.0,0,0
11/21/2022,397.0,397.0,397.0,397.0,0,0
11/22/2022,396.25,396.25,396.25,396.25,0,0
11/23/2022,389.5,389.5,389.5,389.5,0,0
11/25/2022,383.5,383.5,383.5,383.5,0,0
11/28/2022,379.5,379.5,379.5,379.5,0,0
11/29/2022,382.5,382.5,382.5,382.5,0,0
11/30/2022,385.0,385.0,385.0,385.0,0,0
12/1/2022,378.75,378.75,378.75,378.75,0,0
12/2/2022,361.5,361.5,361.5,361.5,0,0
12/5/2022,332.75,332.75,332.75,332.75,0,0
12/6/2022,334.25,334.25,334.25,334.25,0,0
12/7/2022,331.75,331.75,331.75,331.75,0,0
12/8/2022,334.0,334.0,334.0,334.0,0,0
12/9/2022,339.25,339.25,339.25,339.25,0,0
12/12/2022,345.25,345.25,345.25,345.25,0,0
12/13/2022,346.0,346.0,346.0,346.0,0,0
12/14/2022,346.5,346.5,346.5,346.5,0,0
