Date,Open,High,Low,Close,Vol,OI
12/31/2020,99.86,99.86,99.86,99.86,0,0
1/4/2021,99.87,99.87,99.87,99.87,0,0
1/5/2021,99.87,99.87,99.87,99.87,0,0
1/6/2021,99.855,99.855,99.855,99.855,0,0
1/7/2021,99.845,99.845,99.845,99.845,0,0
1/8/2021,99.85,99.85,99.85,99.85,0,0
1/11/2021,99.85,99.85,99.85,99.85,0,0
1/12/2021,99.84,99.84,99.84,99.84,0,0
1/13/2021,99.84,99.84,99.84,99.84,0,0
1/14/2021,99.85,99.85,99.85,99.85,0,0
1/15/2021,99.84,99.84,99.84,99.84,0,0
1/19/2021,99.85,99.85,99.85,99.85,0,0
1/20/2021,99.86,99.86,99.86,99.86,0,0
1/21/2021,99.85,99.85,99.85,99.85,0,0
1/22/2021,99.84,99.84,99.84,99.84,0,0
1/25/2021,99.845,99.845,99.845,99.845,0,0
1/26/2021,99.845,99.845,99.845,99.845,0,0
1/27/2021,99.845,99.845,99.845,99.845,0,0
1/28/2021,99.835,99.835,99.835,99.835,0,0
1/29/2021,99.84,99.84,99.84,99.84,0,0
2/1/2021,99.84,99.84,99.84,99.84,0,0
2/2/2021,99.835,99.835,99.835,99.835,0,0
2/3/2021,99.83,99.83,99.83,99.83,0,0
2/4/2021,99.815,99.815,99.815,99.815,0,0
2/5/2021,99.81,99.81,99.81,99.81,0,0
2/8/2021,99.805,99.805,99.805,99.805,0,0
2/9/2021,99.805,99.805,99.805,99.805,0,0
2/10/2021,99.81,99.81,99.81,99.81,0,0
2/11/2021,99.815,99.815,99.815,99.815,0,0
2/12/2021,99.775,99.775,99.775,99.775,0,0
2/16/2021,99.69,99.69,99.69,99.69,0,0
2/17/2021,99.69,99.69,99.69,99.69,0,0
2/18/2021,99.69,99.69,99.69,99.69,0,0
2/19/2021,99.665,99.665,99.665,99.665,0,0
2/22/2021,99.665,99.665,99.665,99.665,0,0
2/23/2021,99.67,99.67,99.67,99.67,0,0
2/24/2021,99.67,99.67,99.67,99.67,0,0
2/25/2021,99.61,99.61,99.61,99.61,0,0
2/26/2021,99.6,99.6,99.6,99.6,0,0
3/1/2021,99.6,99.6,99.6,99.6,0,0
3/2/2021,99.6,99.6,99.6,99.6,0,0
3/3/2021,99.585,99.585,99.585,99.585,0,0
3/4/2021,99.575,99.575,99.575,99.575,0,0
3/5/2021,99.57,99.57,99.57,99.57,0,0
3/8/2021,99.555,99.555,99.555,99.555,0,0
3/9/2021,99.555,99.555,99.555,99.555,0,0
3/10/2021,99.57,99.57,99.57,99.57,0,0
3/11/2021,99.575,99.575,99.575,99.575,0,0
3/12/2021,99.565,99.565,99.565,99.565,0,0
3/15/2021,99.565,99.565,99.565,99.565,0,0
3/16/2021,99.57,99.57,99.57,99.57,0,0
3/17/2021,99.58,99.58,99.58,99.58,0,0
3/18/2021,99.56,99.56,99.56,99.56,0,0
3/19/2021,99.56,99.56,99.56,99.56,0,0
3/22/2021,99.555,99.555,99.555,99.555,0,0
3/23/2021,99.54,99.54,99.54,99.54,0,0
3/24/2021,99.545,99.545,99.545,99.545,0,0
3/25/2021,99.55,99.55,99.55,99.55,0,0
3/26/2021,99.54,99.54,99.54,99.54,0,0
3/29/2021,99.53,99.53,99.53,99.53,0,0
3/30/2021,99.5,99.5,99.5,99.5,0,0
3/31/2021,99.48,99.48,99.48,99.48,0,0
4/1/2021,99.47,99.47,99.47,99.47,0,0
4/5/2021,99.38,99.38,99.38,99.38,0,0
4/6/2021,99.37,99.37,99.37,99.37,0,0
4/7/2021,99.415,99.415,99.415,99.415,0,0
4/8/2021,99.425,99.425,99.425,99.425,0,0
4/9/2021,99.42,99.42,99.42,99.42,0,0
4/12/2021,99.41,99.41,99.41,99.41,0,0
4/13/2021,99.425,99.425,99.425,99.425,0,0
4/14/2021,99.415,99.415,99.415,99.415,0,0
4/15/2021,99.445,99.445,99.445,99.445,0,0
4/16/2021,99.43,99.43,99.43,99.43,0,0
4/19/2021,99.435,99.435,99.435,99.435,0,0
4/20/2021,99.45,99.45,99.45,99.45,0,0
4/21/2021,99.42,99.42,99.42,99.42,0,0
4/22/2021,99.42,99.42,99.42,99.42,0,0
4/23/2021,99.42,99.42,99.42,99.42,0,0
4/26/2021,99.37,99.37,99.37,99.37,0,0
4/27/2021,99.36,99.36,99.36,99.36,0,0
4/28/2021,99.37,99.37,99.37,99.37,0,0
4/29/2021,99.37,99.37,99.37,99.37,0,0
4/30/2021,99.37,99.37,99.37,99.37,0,0
5/3/2021,99.385,99.385,99.385,99.385,0,0
5/4/2021,99.385,99.385,99.385,99.385,0,0
5/5/2021,99.385,99.385,99.385,99.385,0,0
5/6/2021,99.4,99.4,99.4,99.4,0,0
5/7/2021,99.44,99.44,99.44,99.44,0,0
5/10/2021,99.44,99.44,99.44,99.44,0,0
5/11/2021,99.425,99.425,99.425,99.425,0,0
5/12/2021,99.39,99.39,99.39,99.39,0,0
5/13/2021,99.28,99.28,99.28,99.28,0,0
5/14/2021,99.28,99.28,99.28,99.28,0,0
5/17/2021,99.28,99.28,99.28,99.28,0,0
5/18/2021,99.28,99.28,99.28,99.28,0,0
5/19/2021,99.265,99.265,99.265,99.265,0,0
5/20/2021,99.275,99.275,99.275,99.275,0,0
5/21/2021,99.28,99.28,99.28,99.28,0,0
5/24/2021,99.275,99.275,99.275,99.275,0,0
5/25/2021,99.28,99.28,99.28,99.28,0,0
5/26/2021,99.24,99.24,99.24,99.24,0,0
5/27/2021,99.23,99.23,99.23,99.23,0,0
5/28/2021,99.23,99.23,99.23,99.23,0,0
6/1/2021,99.175,99.175,99.175,99.175,0,0
6/2/2021,99.07,99.07,99.07,99.07,0,0
6/3/2021,99.035,99.035,99.035,99.035,0,0
6/4/2021,99.06,99.06,99.06,99.06,0,0
6/7/2021,99.055,99.055,99.055,99.055,0,0
6/8/2021,99.065,99.065,99.065,99.065,0,0
6/9/2021,99.085,99.085,99.085,99.085,0,0
6/10/2021,99.1,99.1,99.1,99.1,0,0
6/11/2021,99.085,99.085,99.085,99.085,0,0
6/14/2021,99.07,99.07,99.07,99.07,0,0
6/15/2021,99.065,99.065,99.065,99.065,0,0
6/16/2021,98.995,98.995,98.995,98.995,0,0
6/17/2021,98.945,98.945,98.945,98.945,0,0
6/18/2021,98.935,98.935,98.935,98.935,0,0
6/21/2021,98.94,98.94,98.94,98.94,0,0
6/22/2021,98.95,98.95,98.95,98.95,0,0
6/23/2021,98.915,98.915,98.915,98.915,0,0
6/24/2021,98.89,98.89,98.89,98.89,0,0
6/25/2021,98.885,98.885,98.885,98.885,0,0
6/28/2021,98.895,98.895,98.895,98.895,0,0
6/29/2021,98.895,98.895,98.895,98.895,0,0
6/30/2021,98.89,98.89,98.89,98.89,0,0
7/1/2021,98.88,98.88,98.88,98.88,0,0
7/2/2021,98.92,98.92,98.92,98.92,0,0
7/6/2021,98.95,98.95,98.95,98.95,0,0
7/7/2021,98.97,98.97,98.97,98.97,0,0
7/8/2021,99.025,99.025,99.025,99.025,0,0
7/9/2021,98.995,98.995,98.995,98.995,0,0
7/12/2021,98.98,98.98,98.98,98.98,0,0
7/13/2021,98.88,98.88,98.88,98.88,0,0
7/14/2021,98.92,98.92,98.92,98.92,0,0
7/15/2021,98.925,98.925,98.925,98.925,0,0
7/16/2021,98.925,98.925,98.925,98.925,0,0
7/19/2021,98.98,98.98,98.98,98.98,0,0
7/20/2021,98.98,98.98,98.98,98.98,0,0
7/21/2021,98.95,98.95,98.95,98.95,0,0
7/22/2021,98.97,98.97,98.97,98.97,0,0
7/23/2021,98.97,98.97,98.97,98.97,0,0
7/26/2021,98.965,98.965,98.965,98.965,0,0
7/27/2021,98.98,98.98,98.98,98.98,0,0
7/28/2021,98.945,98.945,98.945,98.945,0,0
7/29/2021,98.97,98.97,98.97,98.97,0,0
7/30/2021,98.99,98.99,98.99,98.99,0,0
8/2/2021,99.015,99.015,99.015,99.015,0,0
8/3/2021,99.03,99.03,99.03,99.03,0,0
8/4/2021,99.0,99.0,99.0,99.0,0,0
8/5/2021,98.965,98.965,98.965,98.965,0,0
8/6/2021,98.915,98.915,98.915,98.915,0,0
8/9/2021,98.9,98.9,98.9,98.9,0,0
