Date,Open,High,Low,Close,Vol,OI
1/14/2022,1440.5,1440.5,1440.5,1440.5,0,0
1/18/2022,1443.0,1443.0,1443.0,1443.0,0,0
1/19/2022,1449.0,1449.0,1449.0,1449.0,0,0
1/20/2022,1447.5,1447.5,1447.5,1447.5,0,0
1/21/2022,1455.5,1455.5,1455.5,1455.5,0,0
1/24/2022,1461.5,1461.5,1461.5,1461.5,0,0
1/25/2022,1460.5,1460.5,1460.5,1460.5,0,0
1/26/2022,1467.5,1467.5,1467.5,1467.5,0,0
1/27/2022,1460.0,1460.0,1460.0,1460.0,0,0
1/28/2022,1467.5,1467.5,1467.5,1467.5,0,0
1/31/2022,1475.5,1475.5,1475.5,1475.5,0,0
2/1/2022,1490.5,1490.5,1490.5,1490.5,0,0
2/2/2022,1501.5,1501.5,1501.5,1501.5,0,0
2/3/2022,1503.0,1503.0,1503.0,1503.0,0,0
2/4/2022,1505.5,1505.5,1505.5,1505.5,0,0
2/7/2022,1514.0,1514.0,1514.0,1514.0,0,0
2/8/2022,1491.0,1491.0,1491.0,1491.0,0,0
2/9/2022,1488.5,1488.5,1488.5,1488.5,0,0
2/10/2022,1487.0,1487.0,1487.0,1487.0,0,0
2/11/2022,1495.5,1495.5,1495.5,1495.5,0,0
2/14/2022,1484.5,1484.5,1484.5,1484.5,0,0
2/15/2022,1480.5,1480.5,1480.5,1480.5,0,0
2/16/2022,1486.5,1486.5,1486.5,1486.5,0,0
2/17/2022,1488.5,1488.5,1488.5,1488.5,0,0
2/18/2022,1487.5,1487.5,1487.5,1487.5,0,0
2/22/2022,1511.5,1511.5,1511.5,1511.5,0,0
2/23/2022,1521.0,1521.0,1521.0,1521.0,0,0
2/24/2022,1519.5,1519.5,1519.5,1519.5,0,0
2/25/2022,1516.5,1516.5,1516.5,1516.5,0,0
2/28/2022,1538.0,1538.0,1538.0,1538.0,0,0
3/1/2022,1559.0,1559.0,1559.0,1559.0,0,0
3/2/2022,1556.0,1556.0,1556.0,1556.0,0,0
3/3/2022,1568.5,1568.5,1568.5,1568.5,0,0
3/4/2022,1579.0,1579.0,1579.0,1579.0,0,0
3/7/2022,1585.5,1585.5,1585.5,1585.5,0,0
3/8/2022,1590.5,1590.5,1590.5,1590.5,0,0
3/9/2022,1584.5,1584.5,1584.5,1584.5,0,0
3/10/2022,1596.0,1596.0,1596.0,1596.0,0,0
3/11/2022,1612.0,1612.0,1612.0,1612.0,0,0
3/14/2022,1610.5,1610.5,1610.5,1610.5,0,0
3/15/2022,1609.0,1609.0,1609.0,1609.0,0,0
3/16/2022,1604.0,1604.0,1604.0,1604.0,0,0
3/17/2022,1606.0,1606.0,1606.0,1606.0,0,0
3/18/2022,1607.0,1607.0,1607.0,1607.0,0,0
3/21/2022,1616.0,1616.0,1616.0,1616.0,0,0
3/22/2022,1620.0,1620.0,1620.0,1620.0,0,0
3/23/2022,1626.5,1626.5,1626.5,1626.5,0,0
3/24/2022,1631.5,1631.5,1631.5,1631.5,0,0
3/25/2022,1645.0,1645.0,1645.0,1645.0,0,0
3/28/2022,1626.0,1626.0,1626.0,1626.0,0,0
