Date,Open,High,Low,Close,Vol,OI
7/14/2021,646.0,646.0,646.0,646.0,0,0
7/15/2021,660.25,660.25,660.25,660.25,0,0
7/16/2021,672.75,672.75,672.75,672.75,0,0
7/19/2021,675.5,675.5,675.5,675.5,0,0
7/20/2021,672.5,672.5,672.5,672.5,0,0
7/21/2021,682.25,682.25,682.25,682.25,0,0
7/22/2021,668.75,668.75,668.75,668.75,0,0
7/23/2021,663.25,663.25,663.25,663.25,0,0
7/26/2021,658.75,658.75,658.75,658.75,0,0
7/27/2021,655.75,655.75,655.75,655.75,0,0
7/28/2021,664.5,664.5,664.5,664.5,0,0
7/29/2021,677.25,677.25,677.25,677.25,0,0
7/30/2021,677.75,677.75,677.75,677.75,0,0
8/2/2021,694.25,694.25,694.25,694.25,0,0
8/3/2021,690.75,690.75,690.75,690.75,0,0
8/4/2021,689.75,689.75,689.75,689.75,0,0
8/5/2021,688.25,688.25,688.25,688.25,0,0
8/6/2021,699.5,699.5,699.5,699.5,0,0
8/9/2021,697.0,697.0,697.0,697.0,0,0
8/10/2021,699.0,699.0,699.0,699.0,0,0
8/11/2021,698.75,698.75,698.75,698.75,0,0
8/12/2021,697.25,697.25,697.25,697.25,0,0
8/13/2021,703.25,703.25,703.25,703.25,0,0
8/16/2021,697.75,697.75,697.75,697.75,0,0
8/17/2021,686.0,686.0,686.0,686.0,0,0
8/18/2021,683.75,683.75,683.75,683.75,0,0
8/19/2021,675.75,675.75,675.75,675.75,0,0
8/20/2021,667.75,667.75,667.75,667.75,0,0
8/23/2021,677.5,677.5,677.5,677.5,0,0
8/24/2021,676.25,676.25,676.25,676.25,0,0
8/25/2021,669.5,669.5,669.5,669.5,0,0
8/26/2021,677.75,677.75,677.75,677.75,0,0
8/27/2021,677.0,677.0,677.0,677.0,0,0
8/30/2021,675.25,675.25,675.25,675.25,0,0
8/31/2021,685.0,685.0,685.0,685.0,9,0
9/1/2021,675.75,675.75,675.75,675.75,9,5
9/2/2021,676.75,676.75,676.75,676.75,0,5
9/3/2021,679.25,679.25,679.25,679.25,0,5
9/7/2021,672.75,672.75,672.75,672.75,0,5
9/8/2021,666.75,666.75,666.75,666.75,0,5
9/9/2021,653.75,653.75,653.75,653.75,0,5
9/10/2021,659.75,659.75,659.75,659.75,0,5
9/13/2021,660.25,660.25,660.25,660.25,0,5
9/14/2021,671.5,671.5,671.5,671.5,0,5
9/15/2021,676.75,676.75,676.75,676.75,0,5
9/16/2021,674.5,674.5,674.5,674.5,0,5
9/17/2021,672.25,672.25,672.25,672.25,0,5
9/20/2021,669.75,669.75,669.75,669.75,0,5
9/21/2021,665.75,665.75,665.75,665.75,0,5
9/22/2021,676.25,676.25,676.25,676.25,0,5
9/23/2021,680.0,693.5,680.0,693.5,0,5
9/24/2021,692.75,692.75,692.75,692.75,2,6
9/27/2021,697.5,697.5,697.5,697.5,0,6
9/28/2021,682.25,682.25,682.25,682.25,1,7
9/29/2021,689.0,689.0,689.0,689.0,0,7
9/30/2021,700.0,701.0,700.0,701.0,0,7
10/1/2021,717.75,717.75,717.75,717.75,5,8
10/4/2021,720.75,726.25,720.75,726.25,2,8
10/5/2021,717.5,717.5,717.5,717.5,3,10
10/6/2021,717.75,717.75,717.75,717.75,0,10
10/7/2021,727.25,727.25,727.25,727.25,0,10
10/8/2021,723.5,723.5,723.5,723.5,0,10
10/11/2021,723.0,725.75,723.0,725.75,0,10
10/12/2021,721.0,721.0,721.0,721.0,2,11
10/13/2021,707.0,707.75,707.0,707.75,0,11
10/14/2021,713.75,713.75,713.75,713.75,2,12
10/15/2021,720.0,720.0,720.0,720.0,2,13
10/18/2021,719.5,719.5,719.5,719.5,0,13
10/19/2021,710.0,718.75,710.0,715.75,0,13
10/20/2021,716.75,724.25,716.75,724.25,19,20
10/21/2021,718.0,718.0,717.75,717.75,3,21
10/22/2021,727.25,727.25,727.25,727.25,1,20
10/25/2021,731.5,731.5,731.5,731.5,0,20
10/26/2021,729.75,729.75,729.75,729.75,0,20
10/27/2021,734.5,739.25,734.5,739.25,0,20
10/28/2021,740.0,745.25,740.0,745.25,1,21
10/29/2021,743.5,743.5,743.5,743.5,4,23
11/1/2021,748.0,752.25,748.0,752.25,0,23
11/2/2021,751.0,751.0,751.0,751.0,3,26
11/3/2021,744.25,745.5,744.25,745.5,0,26
11/4/2021,738.25,738.25,738.25,738.25,1,27
11/5/2021,735.75,739.0,735.75,739.0,0,27
11/8/2021,742.75,742.75,742.75,742.75,1,28
11/9/2021,749.5,749.5,749.5,749.5,0,28
11/10/2021,745.0,756.75,745.0,756.75,0,28
11/11/2021,765.0,765.0,760.5,760.5,6,33
11/12/2021,762.0,762.0,760.0,760.0,11,36
11/15/2021,760.0,762.75,760.0,762.75,5,37
11/16/2021,760.0,760.0,760.0,760.0,4,40
11/17/2021,766.25,766.25,766.25,766.25,0,40
11/18/2021,770.0,770.0,765.5,765.5,3,41
11/19/2021,753.0,763.25,753.0,763.25,4,43
11/22/2021,773.25,773.25,773.25,773.25,35,61
11/23/2021,773.0,777.0,773.0,777.0,0,61
11/24/2021,772.25,772.25,769.0,769.0,2,62
11/26/2021,762.5,762.5,762.5,762.5,6,62
11/29/2021,747.25,747.25,747.25,747.25,0,62
11/30/2021,724.5,724.5,724.5,724.5,0,62
12/1/2021,725.0,725.0,724.5,724.5,4,63
12/2/2021,739.25,739.25,739.25,739.25,2,65
12/3/2021,736.75,736.75,736.75,736.75,0,65
12/6/2021,741.75,741.75,741.75,741.75,2,65
12/7/2021,737.0,746.0,734.0,746.0,0,65
12/8/2021,737.0,737.0,737.0,737.0,22,79
12/9/2021,730.5,730.5,730.5,730.5,0,79
12/10/2021,737.5,737.5,737.5,737.5,13,80
12/13/2021,740.25,740.25,740.25,740.25,1,80
12/14/2021,737.75,737.75,737.75,737.75,4,80
12/15/2021,715.25,715.25,715.25,715.25,0,80
12/16/2021,724.5,724.5,724.5,724.5,2,80
12/17/2021,725.0,725.0,723.25,723.25,0,80
12/20/2021,726.75,726.75,726.75,726.75,9,85
12/21/2021,735.5,735.5,735.5,735.5,0,85
12/22/2021,740.0,745.75,740.0,745.75,0,85
12/23/2021,743.75,743.75,743.75,743.75,7,86
12/27/2021,742.5,742.5,742.5,742.5,4,88
12/28/2021,733.5,733.5,733.5,733.5,0,88
12/29/2021,736.25,736.25,736.25,736.25,6,88
12/30/2021,723.0,727.75,723.0,725.0,1,88
12/31/2021,714.25,714.25,714.25,714.25,21,95
1/3/2022,711.25,711.25,711.25,711.25,1,95
1/4/2022,710.0,718.75,710.0,718.75,0,95
1/5/2022,719.5,722.0,719.5,719.5,6,98
1/6/2022,716.0,716.0,716.0,716.0,7,96
1/7/2022,727.0,727.0,727.0,727.0,3,95
1/10/2022,733.25,733.25,733.25,733.25,0,95
1/11/2022,737.0,743.0,730.25,743.0,2,93
1/12/2022,732.75,732.75,732.75,732.75,4,95
1/13/2022,731.5,731.5,730.0,730.0,2,96
1/14/2022,724.0,724.0,724.0,724.0,6,90
1/18/2022,738.5,738.75,738.5,738.75,0,90
1/19/2022,746.5,758.25,743.5,758.25,3,93
1/20/2022,760.75,760.75,752.5,752.5,3,94
1/21/2022,750.0,750.0,750.0,750.0,2,94
1/24/2022,755.75,762.0,755.75,762.0,0,94
1/25/2022,768.25,775.0,768.25,773.25,4,97
1/26/2022,773.0,773.0,762.0,762.0,99,125
1/27/2022,750.25,750.25,750.25,750.25,5,125
1/28/2022,752.75,754.25,752.75,754.25,2,125
1/31/2022,733.75,733.75,733.75,733.75,11,130
2/1/2022,744.0,744.0,744.0,744.0,3,130
2/2/2022,736.5,743.0,734.0,735.5,0,130
2/3/2022,726.75,736.0,726.75,736.0,8,132
2/4/2022,739.0,742.25,739.0,742.25,27,131
2/7/2022,752.75,752.75,752.75,752.75,12,129
2/8/2022,751.0,755.0,751.0,755.0,6,128
2/9/2022,755.0,765.75,755.0,765.75,7,131
2/10/2022,752.75,755.0,752.0,755.0,2,131
2/11/2022,770.5,770.5,770.5,770.5,4,132
2/14/2022,770.75,770.75,770.75,770.75,4,131
2/15/2022,755.0,756.75,755.0,756.75,4,131
2/16/2022,758.5,758.5,758.5,758.5,4,132
2/17/2022,763.0,772.0,763.0,772.0,0,132
